listing_id,url,address,postcode,price_isk,size_m2,rooms,bedrooms,bathrooms,property_type,open_house,listed_date,first_fetched,status,change_type,previous_price_isk
1074428,https://fasteignir.visir.is/property/1074428,Mávahlíð 26,105,78500000,98.3,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1069811,https://fasteignir.visir.is/property/1069811,Mávahlíð 32,105,78900000,83,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1077282,https://fasteignir.visir.is/property/1077282,Rauðalækur 20,105,67900000,85.1,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1069522,https://fasteignir.visir.is/property/1069522,Rauðalækur 31,105,75900000,87.4,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1077688,https://fasteignir.visir.is/property/1077688,Rauðalækur 69,105,62900000,89.3,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1073206,https://fasteignir.visir.is/property/1073206,Rauðarárstígur 3,105,68500000,77.3,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1063713,https://fasteignir.visir.is/property/1063713,Rauðarárstígur 33,105,74900000,93.8,3,1,1,Fjölbýlishús,,,,active,,
1072169,https://fasteignir.visir.is/property/1072169,Rauðarárstígur 41,105,79900000,103.5,5,3,2,Fjölbýlishús,,,2026-07-13,active,,
1059040,https://fasteignir.visir.is/property/1059040,Sigtún 39,105,79800000,98.3,4,3,1,Fjölbýlishús,"2026-07-13, 17:00–18:00",2026-07-13,,active,open_house,
1077088,https://fasteignir.visir.is/property/1077088,Skeggjagata 16,105,76900000,92.4,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1075423,https://fasteignir.visir.is/property/1075423,Skipholt 11-13,105,69900000,81.7,2,1,1,Fjölbýlishús,,,,active,,
1071813,https://fasteignir.visir.is/property/1071813,Skipholt 5,105,79900000,93.9,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1073428,https://fasteignir.visir.is/property/1073428,Skipholt 55,105,79900000,117.4,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1047496,https://fasteignir.visir.is/property/1047496,Snorrabraut 35,105,69950000,95.5,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1077369,https://fasteignir.visir.is/property/1077369,Snorrabraut 73,105,69900000,85.5,4,2,1,Fjölbýlishús,,,2026-07-13,active,,
1076669,https://fasteignir.visir.is/property/1076669,Stigahlíð 10,105,69900000,83,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1051710,https://fasteignir.visir.is/property/1051710,Stórholt 12,105,74900000,80.6,4,3,2,Fjölbýlishús,,,2026-07-13,active,,
1077333,https://fasteignir.visir.is/property/1077333,Sóltún 14,105,74900000,87.1,2,1,1,Fjölbýlishús,,2026-07-14,,active,,
1075429,https://fasteignir.visir.is/property/1075429,Sóltún 30,105,72500000,84.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1073176,https://fasteignir.visir.is/property/1073176,Sóltún 30,105,79900000,94.5,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1051013,https://fasteignir.visir.is/property/1051013,Sóltún 5,105,74900000,79.4,2,1,1,Fjölbýlishús,,,,active,,
1063543,https://fasteignir.visir.is/property/1063543,Sóltún 8,105,79900000,88,2,1,1,Fjölbýlishús,,,,active,,
1060086,https://fasteignir.visir.is/property/1060086,Víðihlíð 18,105,69900000,102.6,2,1,1,Fjölbýlishús,,,,active,,
1072487,https://fasteignir.visir.is/property/1072487,Þverholt 22,105,69900000,74.4,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1073214,https://fasteignir.visir.is/property/1073214,Þverholt 28,105,78900000,85.6,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1058991,https://fasteignir.visir.is/property/1058991,Aflagrandi 40,107,62000000,80.1,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1060397,https://fasteignir.visir.is/property/1060397,Bárugrandi 3,107,74900000,86.6,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
374078,https://fasteignir.visir.is/property/374078,Flyðrugrandi 16,107,74000000,73,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1058740,https://fasteignir.visir.is/property/1058740,Flyðrugrandi 16 - 321,107,72500000,70.1,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1062084,https://fasteignir.visir.is/property/1062084,Flyðrugrandi 20,107,63500000,71.6,2,1,1,Fjölbýlishús,,,,active,,
1077409,https://fasteignir.visir.is/property/1077409,Flyðrugrandi 20,107,63500000,71.6,2,1,1,Fjölbýlishús,,,,active,,
1037661,https://fasteignir.visir.is/property/1037661,Fálkagata 22,107,79900000,104.7,4,3,1,Fjölbýlishús,,,,active,,
1077092,https://fasteignir.visir.is/property/1077092,Fálkagata 5,107,69900000,73.9,2,2,1,Fjölbýlishús,"2026-07-14, 17:00–17:30",2026-07-14,,active,open_house,
857273,https://fasteignir.visir.is/property/857273,Grandavegur 42B,107,77900000,76.4,2,1,1,Fjölbýlishús,,2026-07-16,,active,,
1072973,https://fasteignir.visir.is/property/1072973,Grenimelur 32,107,69900000,94.8,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1074629,https://fasteignir.visir.is/property/1074629,Hagamelur 8,107,77900000,105.7,4,3,1,Fjölbýlishús,,,2026-07-13,active,,
1076654,https://fasteignir.visir.is/property/1076654,Hjarðarhagi 28,107,74900000,99.7,3,2,1,Fjölbýlishús,"2026-07-14, 18:00–18:30",2026-07-14,,active,open_house,
1070566,https://fasteignir.visir.is/property/1070566,Hjarðarhagi 56,107,71900000,82.6,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1070268,https://fasteignir.visir.is/property/1070268,Meistaravellir 33,107,74500000,83.2,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1035123,https://fasteignir.visir.is/property/1035123,Melhagi 18,107,71900000,86.2,3,1,2,Fjölbýlishús,,,,active,,
1072213,https://fasteignir.visir.is/property/1072213,Nesvegur 61,107,74900000,73.7,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1070407,https://fasteignir.visir.is/property/1070407,Nesvegur 67,107,69400000,93.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1072657,https://fasteignir.visir.is/property/1072657,Reynimelur 82,107,69900000,73.6,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1076526,https://fasteignir.visir.is/property/1076526,Skeljagrandi 4,107,63900000,96.9,2,1,1,Fjölbýlishús,,2026-07-14,,active,,
1069917,https://fasteignir.visir.is/property/1069917,Skeljagrandi 4,107,74900000,117.9,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1071164,https://fasteignir.visir.is/property/1071164,Sörlaskjól 64,107,64900000,72.8,3,2,1,Fjölbýlishús,,,2026-07-13,active,,
1075134,https://fasteignir.visir.is/property/1075134,Tómasarhagi 44,107,74900000,87.8,3,2,0,Fjölbýlishús,,,2026-07-13,active,,
1075788,https://fasteignir.visir.is/property/1075788,Víðimelur 63,107,64900000,77.8,2,1,1,Fjölbýlishús,,,,active,,
979279,https://fasteignir.visir.is/property/979279,Víðimelur 63,107,64900000,77.8,2,1,1,Fjölbýlishús,,,,active,,
1076180,https://fasteignir.visir.is/property/1076180,Álagrandi 8,107,66900000,80.8,2,1,1,Fjölbýlishús,,,,active,,
1039377,https://fasteignir.visir.is/property/1039377,Öldugrandi 9,107,66500000,93.6,2,1,1,Fjölbýlishús,,,,active,,
1077574,https://fasteignir.visir.is/property/1077574,Öldugrandi 9,107,66500000,93.6,2,1,1,Fjölbýlishús,,,,active,,
